movie_title,similar_movie_title,similarity_score,rank
Avatar,Alien: Resurrection,0.4752058684825897,1
Avatar,Aliens,0.4532701075077057,2
Avatar,The Black Hole,0.44385018944740295,3
Avatar,Serenity,0.4262316823005676,4
Avatar,Sphere,0.420612096786499,5
Avatar,Supernova,0.4051777720451355,6
Avatar,Space Battleship Yamato,0.397059828042984,7
Avatar,Journey to Saturn,0.39444684982299805,8
Avatar,After Earth,0.39293426275253296,9
Avatar,"Ultramarines: A Warhammer 40,000 Movie",0.3841439485549927,10
Pirates of the Caribbean: At World's End,Six Days Seven Nights,0.45776867866516113,1
Pirates of the Caribbean: At World's End,The Blue Lagoon,0.4537375569343567,2
Pirates of the Caribbean: At World's End,The Pirates! In an Adventure with Scientists!,0.44154566526412964,3
Pirates of the Caribbean: At World's End,The Master,0.43720197677612305,4
Pirates of the Caribbean: At World's End,Penguins of Madagascar,0.42196232080459595,5
Pirates of the Caribbean: At World's End,Rambo: First Blood Part II,0.4209878444671631,6
Pirates of the Caribbean: At World's End,Last Orders,0.41756123304367065,7
Pirates of the Caribbean: At World's End,The Martian,0.41386276483535767,8
Pirates of the Caribbean: At World's End,John Carter,0.4124293923377991,9
Pirates of the Caribbean: At World's End,Wristcutters: A Love Story,0.4036419689655304,10
Spectre,Octopussy,0.619660496711731,1
Spectre,Skyfall,0.5902116298675537,2
Spectre,The Living Daylights,0.5851721167564392,3
Spectre,Never Say Never Again,0.5841350555419922,4
Spectre,From Russia with Love,0.5243582725524902,5
Spectre,The Man with the Golden Gun,0.5239267945289612,6
Spectre,GoldenEye,0.5207979083061218,7
Spectre,Jason Bourne,0.517768144607544,8
Spectre,For Your Eyes Only,0.5176419615745544,9
Spectre,The World Is Not Enough,0.5143569707870483,10
The Dark Knight Rises,The Dark Knight,0.721232533454895,1
The Dark Knight Rises,Batman Forever,0.6571593284606934,2
The Dark Knight Rises,Batman,0.5982056856155396,3
The Dark Knight Rises,Batman Returns,0.5828825831413269,4
The Dark Knight Rises,Batman Begins,0.5727604031562805,5
The Dark Knight Rises,All Superheroes Must Die,0.5017373561859131,6
The Dark Knight Rises,Brick Mansions,0.4942995309829712,7
The Dark Knight Rises,Batman v Superman: Dawn of Justice,0.4781862199306488,8
The Dark Knight Rises,Batman & Robin,0.4629717767238617,9
The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2",0.4588034749031067,10
John Carter,Rush Hour 2,0.5371755957603455,1
John Carter,Treasure Planet,0.47420862317085266,2
John Carter,Die Hard 2,0.4624361991882324,3
John Carter,Soldier,0.4579174816608429,4
John Carter,After Earth,0.4508998990058899,5
John Carter,Six-String Samurai,0.449884831905365,6
John Carter,Ong Bak 2,0.4486101269721985,7
John Carter,American Ninja 2: The Confrontation,0.4473525881767273,8
John Carter,Battleship,0.44574928283691406,9
John Carter,Space Pirate Captain Harlock,0.4270802140235901,10
Spider-Man 3,Spider-Man 2,0.6019498705863953,1
Spider-Man 3,The Amazing Spider-Man 2,0.5994114279747009,2
Spider-Man 3,The Amazing Spider-Man,0.561382532119751,3
Spider-Man 3,Spider-Man,0.5148813128471375,4
Spider-Man 3,Fantastic 4: Rise of the Silver Surfer,0.5127096176147461,5
Spider-Man 3,Megamind,0.47702908515930176,6
Spider-Man 3,Arachnophobia,0.4722941517829895,7
Spider-Man 3,Austin Powers: The Spy Who Shagged Me,0.46389108896255493,8
Spider-Man 3,Super,0.44779807329177856,9
Spider-Man 3,I Married a Strange Person!,0.44486695528030396,10
Tangled,Rush Hour 2,0.4998282492160797,1
Tangled,See Spot Run,0.48719024658203125,2
Tangled,TRON: Legacy,0.48643285036087036,3
Tangled,Royal Kill,0.4855775833129883,4
Tangled,Pan,0.48529189825057983,5
Tangled,The Cottage,0.48377853631973267,6
Tangled,The Long Riders,0.47914963960647583,7
Tangled,The Timber,0.4698359966278076,8
Tangled,Where the Wild Things Are,0.4664177894592285,9
Tangled,Time Bandits,0.46400362253189087,10
Avengers: Age of Ultron,Captain America: Civil War,0.6480288505554199,1
Avengers: Age of Ultron,Iron Man 3,0.6158934235572815,2
Avengers: Age of Ultron,The Avengers,0.5797140598297119,3
Avengers: Age of Ultron,Captain America: The Winter Soldier,0.5133910775184631,4
Avengers: Age of Ultron,Iron Man 2,0.512158215045929,5
Avengers: Age of Ultron,Iron Man,0.4924003481864929,6
Avengers: Age of Ultron,Thor,0.4620031714439392,7
Avengers: Age of Ultron,Thor: The Dark World,0.4405897855758667,8
Avengers: Age of Ultron,The Incredible Hulk,0.4325401186943054,9
Avengers: Age of Ultron,Megamind,0.42711788415908813,10
Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,0.5576878190040588,1
Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,0.4933072030544281,2
Harry Potter and the Half-Blood Prince,Harry Potter and the Philosopher's Stone,0.4775450825691223,3
Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,0.4090818464756012,4
Harry Potter and the Half-Blood Prince,Just Visiting,0.39146730303764343,5
Harry Potter and the Half-Blood Prince,The Little Prince,0.36449581384658813,6
